2.0196e-05,50.347,-0.98094,-0.86219,-40011,52392
3.3277e-05,1.6525,-0.080222,-0.042881,-17445,947.52
-1.4302e-06,267.87,1.2557,-1.3412,798.25,17897
2.0785e-05,42.158,-0.95612,-0.84055,-44721,55994
2.5407e-05,969.55,-0.33509,0.045278,-3839.9,-404.99
-2.7716e-05,37.365,0.52658,0.66026,35538,23576
-3.3018e-05,1.3307,-0.12126,-0.1507,53497,-7182.2
2.2181e-05,63.451,-0.929,-0.76802,-29609,32979
2.6147e-05,31.857,0.72794,0.6146,-44998,-35457
3.2523e-05,5.3802,-0.24478,-0.20253,-57675,12851
3.0919e-05,14.516,0.42514,0.3523,-43955,-17579
3.0065e-06,95.377,1.5653,-1.3898,-4634.2,50736
-3.297e-05,3.8616,0.12312,0.1728,34653,5081.2
-3.1545e-05,13.469,-0.29412,-0.37478,38461,-13045
-2.376e-05,83.804,-0.66916,-0.9054,21220,-20608
-2.7319e-05,25.554,0.56695,0.65349,52492,36579
-2.8503e-05,30.001,0.4869,0.60469,39281,23650
3.2904e-05,3.1421,-0.17812,-0.1493,-47699,7735.5
-3.3307e-05,0.36762,-0.030063,-0.054709,14618,-517.11
-2.782e-05,34.899,0.5301,0.6464,39317,25809
-3.1099e-05,11.982,0.3292,0.40811,46378,17797
-8.0678e-06,86.54,1.2347,1.415,13161,52521
2.2864e-05,60.36,0.90766,0.74116,-30612,-32333
3.1992e-05,14.094,-0.33554,-0.24599,-28641,8253
3.1285e-05,9.938,0.39113,0.31393,-45190,-16519
-2.8906e-05,62.241,0.41306,0.65412,18233,10160
-1.8234e-05,48.94,-0.93252,-1.0519,38440,-58732
-2.5955e-05,41.604,0.61419,0.74576,37151,29791
3.134e-05,12.388,0.38806,0.30797,-41369,-14871
2.3324e-05,101.74,-0.94576,-0.66609,-17978,18022
-2.919e-05,21.248,0.4664,0.55452,46549,25543
-2.9429e-05,50.068,0.38763,0.60111,20341,10550
-2.8597e-05,28.876,0.483,0.60131,38852,23105
-3.0129e-05,14.459,0.40663,0.4735,59863,28238
4.3225e-06,362.19,-1.3171,1.076,-1769.8,-12542
1.6028e-05,117.01,1.2042,0.94286,-15779,-28418
-2.2079e-05,58.512,-0.77235,-0.92701,32117,-36124
-3.4964e-06,112.8,1.3537,-1.559,4635.9,43447
1.5095e-06,84.594,-1.5271,1.4394,-2606.5,-57876
-1.3268e-05,66.469,1.0907,1.2351,25512,58657
5.3056e-07,148.34,-1.4405,1.4084,-522.21,-33316
8.1004e-09,95.808,-1.4705,1.4754,-19.544,-51574
2.6167e-06,203.94,-1.4407,1.284,-1891.7,-23496
-1.2123e-06,87.984,-1.4493,1.5189,2106.8,-57476
1.415e-05,101.41,-1.245,-1.0278,-17284,36631
-3.302e-05,2.0137,0.12799,0.15444,44885,6182.9
-2.7904e-05,40.916,0.50511,0.65472,31319,20278
1.3228e-05,94.741,-1.258,-1.0597,-18148,41714
-2.6423e-05,314.52,0.31308,1.24,6244.6,3704.9
3.1581e-05,37.58,0.45334,0.22696,-13952,-4430.7
-2.613e-05,61.468,0.56951,0.77499,23995,18770
1.2268e-05,81.25,1.2822,1.1045,-19611,-49310
1.9351e-05,72.972,-1.0424,-0.86072,-26770,37323
1.7336e-05,66.051,1.1017,0.95453,-29134,-47625
1.5378e-05,130.95,1.2387,0.95121,-14027,-26630
8.0397e-06,87.723,-1.4214,-1.2333,-12847,51385
-3.9926e-06,107.99,-1.3456,-1.5619,5475.6,-45109
-3.3323e-05,-0.75072,-0.024022,-0.02943,30263,-815.5
3.129e-05,8.6823,0.37982,0.32368,-57302,-21010
2.2211e-05,181,-1.1027,-0.62425,-10724,11411
1.8123e-05,57.498,-1.0632,-0.92885,-34364,52881
8.0419e-06,173.54,-1.505,-1.1549,-6547.3,25881
2.3773e-05,30.775,0.81848,0.73805,-57928,-56939
1.0367e-05,79.275,-1.3314,-1.1699,-18031,54869
2.9911e-05,18.965,0.5048,0.41718,-46551,-22768
-2.8984e-05,25.372,-0.46739,-0.5703,42684,-24138
2.757e-05,24.926,0.63679,0.55419,-53733,-36400
1.8182e-05,150.76,-1.18,-0.82718,-12926,19429
-2.8721e-05,27.625,0.48226,0.58702,40782,23839
-2.1598e-05,172.22,-0.66035,-1.1074,11232,-12643
2.6071e-05,43.792,0.74593,0.609,-34950,-27641
2.3522e-05,46.968,-0.85552,-0.72556,-36719,36738
1.7667e-05,69.362,1.0979,0.92931,-27397,-43619
-2.034e-06,514.22,0.97366,-1.077,589.48,8272.8
3.2395e-05,9.0906,0.2752,0.208,-32986,-7864.9
-5.5328e-06,237.26,1.1604,-1.4925,3418.6,19661
-3.0995e-05,15.505,-0.34438,-0.41475,42030,-16541
-2.9135e-05,22.291,-0.46746,-0.54682,51761,-28728
1.9366e-05,47.17,-1.0115,-0.89961,-41512,58158
-3.2721e-05,4.6899,-0.17052,-0.22541,32554,-6312.5
-2.5304e-05,51.58,-0.63387,-0.78965,32000,-27273
-3.276e-05,4.765,0.16871,0.20953,40547,7489.7
-8.9544e-06,83.326,1.2106,1.3879,15008,53626
1.7039e-05,106.66,1.1682,0.91558,-17652,-29362
2.8312e-05,27.811,0.61168,0.50365,-41556,-25719
-4.7065e-06,148.03,-1.2769,1.5629,4739.8,-32813
-2.6603e-05,27.371,-0.609,-0.69399,55485,-41803
-6.4318e-06,86.557,-1.2865,-1.4699,10840,-54921
